takeoff_name,club,takeoff_lat,takeoff_lon,telegram_group_name
Ben Gulabin,Highland,56.8306,-3.4723,Highland
Ben Hiel,Highland,58.416055,-4.3980250000000005,Highland
Ben Lawers,SMPC,56.5277,-4.24297,SMPC
Ben Ledi,SMPC,56.25059,-4.30922,SMPC
Ben Luibhean,SMPC,56.22953,-4.84298,SMPC
Ben More,SMPC,56.385595,-4.5425249999999995,SMPC
Ben Nevis,SMPC,56.79638,-5.00398,SMPC
Ben Reid,Aberdeen,56.860225,-3.118025,Aberdeen
Ben Rinnes,Aberdeen,57.403135000000006,-3.239035,Aberdeen
Ben Tirran,Aberdeen,56.84645,-3.03435,Aberdeen
Ben Toaig,SMPC,56.559805,-4.8357399999999995,SMPC
Ben Uarie,Highland,58.12663,-3.81967,Highland
Ben Vorlich,SMPC,56.366585,-4.245115,SMPC
Ben Wyvis,Highland,57.682625,-4.5545100000000005,Highland
Bewaldeth,Cumbria,54.714535,-3.2243899999999996,Cumbria
Bin Of Cullen,Aberdeen,57.66573,-2.87393,Aberdeen
Birks Hill,LLSC,55.58999,-3.13455,LLSC
Bishop,LLSC,56.21678,-3.31957,LLSC
Black Combe,Cumbria,54.26295,-3.35297,Cumbria
Black Combe East,Cumbria,54.253164999999996,-3.317135,Cumbria
"Black Craig, Ayrshire",LLSC,55.22767,-4.35264,LLSC
Black Hill,SE Wales,52.00213,-3.05463,SE Wales
Black Mount,SMPC,56.586475,-4.7333099999999995,SMPC
Blackers Hole,Wessex,50.59345,-1.9853,Wessex
Blackmount,SMPC,56.58578,-4.76467,SMPC
Blaenavon (Gb),SE Wales,51.78122,-3.13877,SE Wales
Blease Fell,Cumbria,54.62548,-3.0736499999999998,Cumbria
Blencathra,Cumbria,54.6401,-3.05068,Cumbria
Blorenge,SE Wales,51.80443,-3.0512,SE Wales
Blua Crags,Dales,54.069315,-2.2617599999999998,Dales
Bo Peep,Southern,50.820660000000004,0.1285,Southern
Bodesbeck Law,LLSC,55.37974,-3.3149249999999997,LLSC
Bow Scale Tarn,Cumbria,54.67045,-3.0308,Cumbria
Bowfell,Cumbria,54.4572,-3.1781,Cumbria
Bradwell,Derbyshire,53.321,-1.73005,Derbyshire
Braemore Junction,Highland,57.76404,-4.99636,Highland
Brant Side,Dales,54.2758,-2.3437,Dales
Bratton,Gap,51.26413,-2.14507,Gap
Bridlington,Cayley,54.0955,-0.17363,Cayley
