device_type,device_id,aircraft_model,registration,cn,tracked,identified,aircraft_type
F,DDB43F,ASW-20,VH-HDX,DX,Y,Y,1
F,DDB440,LS-4,VH-XJO,XJO,Y,Y,1
F,DDB444,DG-600,VH-HDU,DU,Y,Y,1
F,DDB452,DG-500,VH-XQK,,Y,Y,1
F,DDB455,SZD-48-1 Jantar Std 2,VH-CQU,QU,Y,Y,1
F,DDB456,PW-5,VH-ZAW,ZAW,Y,Y,1
F,DDB457,Mini Nimbus,VH-FQA,FQA,Y,Y,1
F,DDB458,PA-25 Pawnee,VH-TOJ,TOJ,Y,Y,2
F,DDB459,DG-1000,VH-DGI,DGI,Y,Y,1
F,DDB45B,SZD-55,VH-GCE,GCE,Y,Y,1
F,DDB45F,Astir CS,VH-GDJ,DJ,Y,Y,1
F,DDB460,SZD-48-1 Jantar Std 2,VH-IZU,IZU,Y,Y,1
F,DDB463,PA-25 Pawnee,VH-KJH,KJH,Y,Y,2
F,DDB464,Libelle Std,VH-GBV,BV,Y,Y,1
F,DDB468,Hornet,GMR,MR,Y,Y,1
F,DDB469,ASW-19,VH-EAT,AT,Y,Y,1
F,DDB46B,LS-4 W,VH-IID,IID,Y,Y,1
F,DDB472,PA-25 Pawnee,VH-WGC,WGC,Y,Y,2
F,DDB47A,Astir CS,VH-WUA,UA,Y,Y,1
F,DDB480,PA-25 Pawnee,VH-COD,,Y,Y,2
F,DDB482,Duo Discus,VH-IUP,IUP,Y,Y,1
F,DDB485,ASW-20,VH-GIB,GIB,Y,Y,1
F,DDB489,SZD-51 Junior,VH-XOH,,Y,Y,1
F,DDB48A,Libelle Std,VH-GBL,,Y,Y,1
F,DDB48C,Libelle Std,VHGBX,BX,Y,Y,1
F,DDB48E,Ventus,VH-GQH,,Y,Y,1
F,DDB48F,SF-27,D-5218,D18,Y,Y,1
F,DDB491,PIK-20 B,VH-GWJ,GWJ,Y,Y,1
F,DDB492,Janus C,VH-EVV,,Y,Y,1
F,DDB495,ASK-21,D-6621,K21,Y,Y,1
F,DDB496,SZD-48-3 Jantar Std 3,VH-HDR,,Y,Y,1
F,DDB497,Hornet,VH-GMY,GMY,Y,Y,1
F,DDB499,JS-3 18M,Iwish,Iwi,Y,Y,1
F,DDB49A,DG-200,VH-GDD,DD,Y,Y,1
F,DDB49E,Janus B,VH-IZI,IZI,Y,Y,1
F,DDB49F,Astir CS,VH-GHF,GHF,Y,Y,1
F,DDB4A0,Astir CS-77,VH-IKT,,Y,Y,1
F,DDB4A3,PA-25 Pawnee,VH-PPC,,Y,Y,2
F,DDB4A6,Cirrus Std,VH  GOR,,Y,Y,1
F,DDB4A7,Duo Discus,VH-GCV,GCV,Y,Y,1
F,DDB4A8,Cirrus Std,VH-GOW,,Y,Y,1
F,DDB4A9,PIK-20 B,VH-GWK,GWK,Y,Y,1
F,DDB4B1,Hornet,VH-GEZ,EZ,Y,Y,1
F,DDB4B2,LS-8 18,D-6527,HF,Y,Y,1
F,DDB4B6,LS-1,VH-GWR,,Y,Y,1
F,DDB4B7,ASW-20,VH-GUW,UW,Y,Y,1
F,DDB4C7,Astir CS-77,D-KHVI,VI,Y,Y,1
F,DDB4D9,SZD-42 Jantar 2/2b,D-3170,OH,Y,Y,1
F,DDB522,Ventus 2cxM,VH-GVM,VM,Y,Y,1
F,DDB524,ASW-28 18,LLK,LLK,Y,Y,1
F,DDB52F,PIK-20 B,VH-GEH,GEH,Y,Y,1
F,DDB531,ASK-21,VH-GFQ,,Y,Y,1
F,DDB533,PA-25 Pawnee,VH-MCF,,Y,Y,2
F,DDB534,DG-400,VH-GPH,GPH,Y,Y,1
F,DDB539,ASW-20,VH-KYD,KYD,Y,Y,1
F,DDB542,Twin Astir II,VH-IKM,IKM,Y,Y,1
F,DDB545,ASW-20,VH-XOL,,Y,Y,1
F,DDB546,SZD-48 Jantar Std 2,VH-UKP,UKP,Y,Y,1
F,DDB548,Cirrus Std,VH-GON,ON,Y,Y,1
F,DDB54A,SZD-42 Jantar 2/2b,VH-GZT,ZT,Y,Y,1
F,DDB54F,SZD-9 Bocian,DDB54F,,Y,Y,1
F,DDB557,LS-1 f,VH-GAH,AH,Y,Y,1
F,DDB569,Ventus 2cxM,VMZ,,Y,Y,1
F,DDB586,ASW-28,ZK-GSS,SS,Y,Y,1
F,DDB587,Discus 2cT,ZK-GXM,XM,Y,Y,1
F,DDB58A,DG-303,D-3952,H1,Y,Y,1
F,DDB58C,ASK-21,VH-GFZ,,Y,Y,1
F,DDB58D,PA-25 Pawnee,VH-BXP,,Y,Y,2
F,DDB58E,Ventus 2cxT,XGK,GK,Y,Y,1
F,DDB58F,Ka-6 e,VH-GEA,GEA,Y,Y,1
F,DDB594,Twin Astir III,D-KMLI,PR,Y,Y,1
F,DDB595,LS-8 18,VH-XGG,GG,Y,Y,1
F,DDB59C,Libelle Std,VH-GLB,LB,Y,Y,1
F,DDB59D,DG-100,VH-WQR,WQR,Y,Y,1
F,DDB59E,Discus,JE,,Y,Y,1
F,DDB5B2,ASW-15,D-8658,JS,Y,Y,1
F,DDB5BF,ASK-21,D-7876,IAB,Y,Y,1
F,DDB5E3,Pegase,VH-PII,KO,Y,Y,1
F,DDB603,SZD-9 Bocian,DDB603,,Y,Y,1
F,DDB630,LS-8,D-2944,AR,Y,Y,1
F,DDB682,Banjo,D-NTCK,TL,Y,Y,1
F,DDB6B2,Mosquito,FQD,,Y,Y,1
F,DDB6B3,PA-25 Pawnee,VH-CPU,CPU,Y,Y,2
F,DDB6B4,SZD-51 Junior,VH-HDP,HDP,Y,Y,1
F,DDB6BA,ASK-13,VH-GIQ,GIQ,Y,Y,1
F,DDB6BB,Astir CS,VH-WVJ,WVJ,Y,Y,1
F,DDB6BC,ASK-21,VH-NKC,NKC,Y,Y,1
F,DDB6BD,PA-25 Pawnee,VH-FBI,FBI,Y,Y,2
F,DDB6BE,ASK-21,VH-SXQ,SXQ,Y,Y,1
F,DDB6BF,PA-25 Pawnee,VH-SMS,SMS,Y,Y,2
F,DDB6C6,PA-25 Pawnee,VH-SMS,SMS,Y,Y,2
F,DDB6CD,Libelle Club,VH-GJF,,Y,Y,1
F,DDB6D1,Discus 2,VH-GXZ,XZ,Y,Y,1
F,DDB6D2,ASW-20,VH-GPU,,Y,Y,1
F,DDB6D8,ASW-24,VHXQH,XQH,Y,Y,1
F,DDB6DD,SZD-41 Jantar Std,VH-KYX,KYX,Y,Y,1
F,DDB6E0,LS-3,VH-DLJ,LJ,Y,Y,1
F,DDB6E4,Duo Discus xl,GRL,,Y,Y,1
F,DDB6EC,PIK-20 E,G-POPE,,Y,Y,1
F,DDB6EF,IS-28B2,VH-GCN,CN,Y,Y,1
F,DDB6F0,PW-6,VH-WGQ,,Y,Y,1
F,DDB6F3,Twin Astir I,VH-IKU,KU,Y,Y,1
F,DDB700,Libelle Std,VH-GYR,YR,Y,Y,1
F,DDB701,Duo Discus t,VH-GKX,KX,Y,Y,1
F,DDB705,LS-3,VH-UKC,UKC,Y,Y,1
F,DDB70A,Cirrus Std,VH-GYY,,Y,Y,1
F,DDB70C,ASK-21,VH-GVA,VA,Y,Y,1
F,DDB70E,PIK-20 B,VH-GAX,,Y,Y,1
F,DDB778,Ventus,VH-VEN,VEN,Y,Y,1
F,DDB779,ASW-20,VH-KYF,KYF,Y,Y,1
F,DDB77C,LS-6,VH-NZE,NZE,Y,Y,1
F,DDB77D,Mosquito,VH-FQC,FQC,Y,Y,1
F,DDB784,Hornet,VH-XXF,XXF,Y,Y,1
F,DDB944,LS-8 18,ugo,T2,Y,Y,1
F,DDBA40,Paraglider,SteFli,01,Y,Y,6
F,DDBA85,SZD-50 Puchacz,VH-XQB,,Y,Y,1
O,DDBA88,Ground Station,,,Y,Y,6
F,DDBA8A,ASG-29E,DIT,IT,Y,Y,1
F,DDBA8C,Nimbus 4DM,VH-GXY,XY,Y,Y,1
F,DDBA8F,LS-7,VH-GDQ,DQ,Y,Y,1
F,DDBA91,SZD-50 Puchacz,WQX,,Y,Y,1
F,DDBA94,ASH-25 EB,VH-GBY,GBY,Y,Y,1
F,DDBA96,Ventus 2cM,GLR,GLR,Y,Y,1
F,DDBA9B,Ventus 2ct,D-XXXX,OS,Y,Y,1
F,DDBA9E,Ventus 2cxT,D-KFSH,33,Y,Y,1
F,DDBAA2,Duo Discus xl,OE-5438,VS1,Y,Y,1
F,DDBAA6,Astir CS,D-7270,TA,Y,Y,1
F,DDBAA8,ASW-27,G-OASW,MM,Y,Y,1
F,DDBAAA,Duo Discus,F-CGDY,DY,Y,Y,1
F,DDBAAB,ASK-21,G-UCLU,EDW,Y,Y,1
F,DDBAAE,LS-8,OY-TNX,X,Y,Y,1
F,DDBAB0,LS-3,D-2564,FV,Y,Y,1
F,DDBABF,ASW-15,,ZZ,Y,Y,1
F,DDBAC2,Std. Astir II,D-2917,HL,Y,Y,1
F,DDBAC6,ASH-26 E,D-KFRB,RB,Y,Y,1
F,DDBAC7,Ventus cM,D-KEYY,,Y,Y,1
F,DDBAC8,LS-4,D-3153,B2,Y,Y,1
F,DDBACC,Pegase,F-CGOS,,Y,Y,1
F,DDBACE,DG-500,D-KCPF,,Y,Y,1
F,DDBAD0,Duo Discus t,OO-YBG,BG,Y,Y,1
F,DDBAD1,ASW-15,D-3752,,Y,Y,1
F,DDBAD2,Twin Astir II,,98,Y,Y,1
F,DDBAD7,Discus 2cT,DKKFC,4E,Y,Y,1
F,DDBAD8,Duo Discus xt,D-KELT,LT,Y,Y,1
F,DDBADA,Janus CM,4X-GMJ,,Y,Y,1
F,DDBADE,Ventus 2cM,D-KBHO,LA,Y,Y,1
F,DDBAE4,ASK-21,D-9523,,Y,Y,1
F,DDBAE6,ASH-25 MI,D-KMPP,MC,Y,Y,1
F,DDBAEA,LS-4,OY-MXS,M1,Y,Y,1
F,DDBAF1,Ventus 2ct,G-CLME,LME,Y,Y,1
F,DDBAF3,LS-6 18,D-9618,FS,Y,Y,1
F,DDBAF4,Twin Astir III,SE-SKF,92,Y,Y,1
F,DDBAF7,Glasflugel 304,D-8948,KL,Y,Y,1
F,DDBAFF,DG-400,D-KEGR,GR,Y,Y,1
O,DDBB00,L 13 SEH Vivat,OM-9105,OC,Y,Y,1
F,DDBB01,Astir CS,D-6532,,Y,Y,1
F,DDBB09,LS-8 18,F-CFNZ,MNZ,Y,Y,1
F,DDBB0B,Duo Discus xl,HB-3401,ZU,Y,Y,1
F,DDBB0D,Cirrus Std,OK-3210,JE,Y,Y,1
F,DDBB11,,,,N,N,1
F,DDBB13,Ventus c,D-6568,AP,Y,Y,1
O,DDBB14,UFO,G-CIMY,,Y,Y,6
F,DDBB17,LS-6,D-8117,HM,Y,Y,1
F,DDBB19,Discus t,G-KEDK,Y2,Y,Y,1
F,DDBB1B,DG-100,D-2803,S8,Y,Y,1
F,DDBB20,DG-808 B,3R,3R,Y,Y,1
F,DDBB27,LS-8,D-7940,R1,Y,Y,1
F,DDBB28,LS-6,D-1340,DF,Y,Y,1
F,DDBB29,Duo Discus,D-2305,ZY,Y,Y,1
F,DDBB2B,Astir CS,D-2399,2H,Y,Y,1
F,DDBB2C,Nimbus 4D,F-CJAC,,Y,Y,1
F,DDBB31,Ventus c,OK 2530,VV,Y,Y,1
F,DDBB33,LS-4,I-FGTM,TM,Y,Y,1
F,DDBB34,DG-600,F-CVII,W7,Y,Y,1
F,DDBB38,Libelle Club,D-2441,ICL,Y,Y,1
F,DDBB3C,Hornet,I-AVSH,F8,Y,Y,1
F,DDBB43,Discus 2,F-CIMB,OF,Y,Y,1
F,DDBB49,DG-1000,D-4311,UF,Y,Y,1
F,DDBB4B,Silent-IN,I-6607,FAE,Y,Y,1
F,DDBB58,Ventus c,D-3480,MM,Y,Y,1
F,DDBB63,Discus 2,D-9988,,Y,Y,1
F,DDBB6E,ASG-29,HB-3412,MD,Y,Y,1
F,DDBB7B,DG-800,D-0241,GF,Y,Y,1
F,DDBB82,ASW-28t,HB-2409,BS,Y,Y,1
F,DDBB84,ASW-24,D-9024,EX,Y,Y,1
F,DDBB86,Slingsby Skylark 4,BRF,904,Y,Y,1
F,DDBB88,DG-400,D-KPML,ML,Y,Y,1
F,DDBB8E,DG-400,D-KCIF,,Y,Y,1
F,DDBB8F,Ventus 2cxT,D-KKVL,VL,Y,Y,1
F,DDBB90,ASW-28 18,G-CLFZ,X44,Y,Y,1
F,DDBB92,Cirrus Std,OK-2966,HC,Y,Y,1
F,DDBB94,Ventus 2,F-CJCZ,CZ,Y,Y,1
F,DDBB95,LS-4,G-DEMT,MF,Y,Y,1
F,DDBB96,ASH-26 E,D-KRPS,MR,Y,Y,1
O,DDBB98,Other,IG01,IG,Y,Y,1
F,DDBB9B,LS-4,D-7828,5J,Y,Y,1
F,DDBB9D,Other,W07,W07,Y,Y,1
F,DDBB9E,PIK-20 D,D-7551,RD,Y,Y,1
F,DDBB9F,Ventus 2ct,D-KLIS,HR,Y,Y,1
F,DDBBA7,Discus 2cT,G-saoc,R6,Y,Y,1
F,DDBBAC,ASW-24,D-3846,46,Y,Y,1
F,DDBBAE,Discus 2cT,D-KHFW,H2,Y,Y,1
F,DDBBAF,DG-808 C,ORVILLE,,Y,Y,1
F,DDBBB1,Discus,OK-5320,HD,Y,Y,1
F,DDBBB2,Nimbus 2 C,OK-1307,MH,Y,Y,1
F,DDBBB3,LS-3,,AW,Y,Y,1
F,DDBBB4,Cirrus Std,G-DDVS,VS,Y,Y,1
F,DDBBB7,DG-1000,F-CGRM,RM,Y,Y,1
F,DDBBBB,Duo Discus,PH-1067,EH,Y,Y,1
F,DDBBBF,Janus C,STDBY,ML,Y,Y,1
F,DDBBC1,Duo Discus t,,440,Y,Y,1
F,DDBBC3,ASK-21,G-CLVU,LVU,Y,Y,1
F,DDBBC6,ASW-22 BL,G-WYDE,461,Y,Y,1
F,DDBBC7,ASH-25,F-CLKL,KL,Y,Y,1
F,DDBBC9,DG-800,D-8384,JH,Y,Y,1
F,DDBBCA,Janus CT,F-CJFE,FE,Y,Y,1
F,DDBBCB,Hornet,,L5,Y,Y,1
F,DDBBCF,Duo Discus t,D-KBVC,,Y,Y,1
F,DDBBD0,ASK-21,PH-713,ZD,Y,Y,1
F,DDBBD1,Nimbus 3D,F-CFUI,AM1,Y,Y,1
F,DDBBD5,Discus 2,OY-XVD,VD,Y,Y,1
F,DDBBD6,Duo Discus xt,G-PHNX,72,Y,Y,1
F,DDBBD7,Discus 2cT,G-CKPG,KPG,Y,Y,1
F,DDBBDA,Nimbus 4DM,D-KGKP,PK,Y,Y,1
F,DDBBDE,ASK-21,D-7636,,Y,Y,1
F,DDBBDF,DG-808 B,D-KULT,LT,Y,Y,1
F,DDBBE1,ASW-20,G-CHZZ,LD,Y,Y,1
F,DDBBE2,Ventus cM,OK-0111,VS,Y,Y,1
F,DDBBE3,DG-505,4X-GMP,,Y,Y,1
F,DDBBE4,LS-1 f,D-8939,AY,Y,Y,1
F,DDBBE5,Cirrus Std,OK-7887,BY,Y,Y,1
F,DDBBE6,ASG-29E,G-CLPU,ES,Y,Y,1
F,DDBBE9,DG-800,D-KEEN,M2,Y,Y,1
F,DDBBEB,Ventus cM,D-KXYZ,cM,Y,Y,1
F,DDBBED,Duo Discus x,D-2969,T3,Y,Y,1
F,DDBBF8,Duo Discus t,D-KFND,FND,Y,Y,1
F,DDBBF9,ASH-26 E,D-KTGT,GT,Y,Y,1
F,DDBBFA,LS-8,G-DSVN,D7,Y,Y,1
F,DDBBFD,Ventus 2,D-5885,8X,Y,Y,1
F,DDBBFF,Ventus bT,OK-4612,VT,Y,Y,1
F,DDBC02,LS-8 st 18,G-CKFV,KFV,Y,Y,1
F,DDBC04,Nimbus 3,G-OJNE,MG,Y,Y,1
F,DDBC06,ASW-20,OK-9496,96,Y,Y,1
F,DDBC07,ASW-28,G-CHKH,DB,Y,Y,1
F,DDBC08,LS-6,D-7802,E7,Y,Y,1
F,DDBC09,Glasflugel H301,SE-TIB,16,Y,Y,1
F,DDBC0B,Discus 2,D-5178,ZZ,Y,Y,1
F,DDBC0C,Discus t,D-KRAP,AP,Y,Y,1
F,DDBC0E,Cirrus Std,F-CMET,23,Y,Y,1
F,DDBC10,LS-7,D-7450,S3,Y,Y,1
F,DDBC11,Duo Discus,D-6298,Z2,Y,Y,1
F,DDBC14,Cirrus Std,G-CKFK,2W,Y,Y,1
F,DDBC18,ASK-21,SE-UMN,,Y,Y,1
F,DDBC1E,Nimbus 3,OY-TAX,3T,Y,Y,1
F,DDBC1F,ASH-25,F-CASH,3W,Y,Y,1
F,DDBC24,Ventus 2ct,G-RBCT,RB,Y,Y,1
F,DDBC28,Discus bT,D-KMKN,UF,Y,Y,1
F,DDBC2A,LS-4,PH-1028,D3,Y,Y,1
F,DDBC2B,Nimbus 3DM,D-KPHJ,,Y,Y,1
F,DDBC30,ASG-29E,G-CKOO,7,Y,Y,1
F,DDBC33,Mini Nimbus,D-4990,VV,Y,Y,1
F,DDBC35,PIK-20 B,HA-4529,W1,Y,Y,1
F,DDBC39,DG-1000 T,G-CKLY,D6,Y,Y,1
F,DDBC3A,DG-400,OY-XPS,PS,Y,Y,1
F,DDBC3D,HPH 304S Shark,D-KEHD,HD,Y,Y,1
F,DDBC3F,LS-8 st 18,OH-976,LK,Y,Y,1
F,DDBC47,LS-4,D-5104,04,Y,Y,1
F,DDBC4A,Discus t,D-KDOS,GB,Y,Y,1
F,DDBC53,Silent 2 Electro,D-MYHP,,Y,Y,1
F,DDBC54,UFO,,00,Y,Y,6
F,DDBC55,ASK-21,D-7459,WK,Y,Y,1
F,DDBC60,Ventus ct,OK-0456,AW,Y,Y,1
F,DDBC62,ASW-19,G-DERS,319,Y,Y,1
F,DDBC63,Astir CS,S5-3048,KA,Y,Y,1
F,DDBC64,ASW-19,D-7839,1V,Y,Y,1
F,DDBC65,Ventus 2cxT,D-KYBB,2B,Y,Y,1
F,DDBC66,DG-300,D-1739,HF2,Y,Y,1
F,DDBC67,Duo Discus,D-3607,2V,Y,Y,1
I,DDBC6A,ASH-25 MI,D-KGHP,HP,Y,Y,1
F,DDBC6B,Duo Discus,F-CIDL,DL,Y,Y,1
F,DDBC6D,Duo Discus xlt,PH-1403,49,Y,Y,1
F,DDBC6E,PIK-20 D,OO-YEZ,EZ,Y,Y,1
F,DDBC70,Duo Discus,G-CKPE,KPE,Y,Y,1
F,DDBC76,Discus,D-6161,SH,Y,Y,1
F,DDBC79,ASH-25,F-CGCE,CE,Y,Y,1
F,DDBC83,Nimbus 3DT,D-KGFF,,Y,Y,1
F,DDBC88,Discus,D-4240,M3,Y,Y,1
F,DDBC8B,ASW-20,D-3595,EF,Y,Y,1
F,DDBC91,UFO,ACH,LX,Y,Y,6
F,DDBC93,Taurus,,MM,Y,Y,1
F,DDBC94,Duo Discus xlt,F-CIDQ,AI,Y,Y,1
F,DDBC97,Discus,PH-1354,EF,Y,Y,1
F,DDBC9C,Nimbus 2 C,D-6691,PVC,Y,Y,1
F,DDBCA0,Discus,G-CJLP,R39,Y,Y,1
F,DDBCA1,ASG-29E,D-KJBO,WE,Y,Y,1
F,DDBCA9,DG-808 C,D-KDIH,,Y,Y,1
F,DDBCAC,ASK-21,D-1802,HI,Y,Y,1
F,DDBCAD,Discus 2,D-KZCZ,CZ,Y,Y,1
F,DDBCB0,LAK-17 AT,BDX-MM,MM,Y,Y,1
F,DDBCB2,ASW-19,D-6925,ES,Y,Y,1
F,DDBCB4,Ventus 2ct,G-YODA,520,Y,Y,1
F,DDBCB6,LS-10,LN-GEI,EI,Y,Y,1
F,DDBCB7,Nimbus 4D,F-CJAZ,32,Y,Y,1
F,DDBCB9,DG-200,G-CKAC,KAC,Y,Y,1
F,DDBCBA,ASG-29,D-6329,AC,Y,Y,1
F,DDBCBB,Duo Discus,PH-1171,DL,Y,Y,1
F,DDBCBD,ASW-27,841,841,Y,Y,1
F,DDBCC4,ASW-28 18,D-KFAK,AK,Y,Y,1
F,DDBCC7,ASK-21 MI,D-KWMI,,Y,Y,1
F,DDBCCF,LS-6 18WJ,G-STEU,L8,Y,Y,1
F,DDBCD5,Silent-IN,I-6134,GL,Y,Y,1
F,DDBCD6,LS-7,D-8171,7R,Y,Y,1
F,DDBCD8,ASH-26 E,D-KMMO,,Y,Y,1
F,DDBCDA,Olympia 463,BTN,BTN,Y,Y,1
F,DDBCDE,SZD-38 Jantar 1,G-DDFU,38A,Y,Y,1
F,DDBCE3,LS-8 18,PH-1454,SX,Y,Y,1
F,DDBCE5,LS-3,OK-2357,RI,Y,Y,1
F,DDBCE7,LS-4,D-6411,GJ,Y,Y,1
F,DDBCEA,Duo Discus xl,D-5360,HZ,Y,Y,1
F,DDBCF3,Discus,D-KKHG,HG,Y,Y,1
F,DDBCF5,ASH-25 MI,D-KHMY,ET,Y,Y,1
F,DDBCF6,Nimbus 2,G-CFPP,N2,Y,Y,1
F,DDBCF8,DG-300,PH-1165,UT,Y,Y,1
F,DDBCF9,LS-8 18,D-8561,P2,Y,Y,1
F,DDBCFA,Discus,D-5494,CA,Y,Y,1
F,DDBCFC,Nimbus 2,D-KHSC,TC,Y,Y,1
F,DDBD01,Ventus ct,D-KIEB,EB,Y,Y,1
F,DDBD02,Discus 2,PH-1459,D2,Y,Y,1
F,DDBD06,Ventus 2ct,G-CKCE,24,Y,Y,1
F,DDBD08,LS-6 18,G-DHET,335,Y,Y,1
F,DDBD09,Ventus 2ct,D-KYTT,TT,Y,Y,1
F,DDBD0B,Nimbus 3DT,G-CHYY,A26,Y,Y,1
F,DDBD0E,Slingsby Vega 15m,G-DDZA,65A,Y,Y,1
O,DDBD0F,Discus 2c,D-5196,OMI,Y,Y,1
F,DDBD14,Duo Discus xlt,D-KFDT,D3,Y,Y,1
F,DDBD19,Ventus c,F-CHRC,RC,Y,Y,1
F,DDBD1C,LS-1 f,D-3686,MK,Y,Y,1
F,DDBD1D,LS-1 f,OM-8994,MF,Y,Y,1
F,DDBD20,SB-11,D-1177,FF,Y,Y,1
F,DDBD22,Astir CS,D-7291,Q2,Y,Y,1
F,DDBD23,ASW-27,F-CJZV,ZV,Y,Y,1
F,DDBD25,DG-300,D-8970,MZ,Y,Y,1
F,DDBD27,DG-300,D-3183,M3,Y,Y,1
F,DDBD28,Ventus 2cM,D-KUWE,WE,Y,Y,1
F,DDBD29,LS-8 st 18,G-CKPM,8T,Y,Y,1
F,DDBD2A,Discus,D-1931,,Y,Y,1
F,DDBD31,ASH-26 E,D-KIDO,JB,Y,Y,1
F,DDBD33,ASK-23,D-6987,CH,Y,Y,1
F,DDBD35,Discus,D-7269,MH,Y,Y,1
F,DDBD36,LS-8 18,D-xx31,8V,Y,Y,1
F,DDBD38,LS-4,G-DKEN,KEN,Y,Y,1
F,DDBD3B,LS-4,F-CEIZ,V49,Y,Y,1
F,DDBD3F,Hornet,D-4448,70,Y,Y,1
F,DDBD40,DG-200,9A-GDB,BC,Y,Y,1
F,DDBD45,LS-4,D-4294,ZZ,Y,Y,1
F,DDBD46,LS-8 18,D-0287,D9,Y,Y,1
F,DDBD47,Duo Discus xl,F-CIVB,VB,Y,Y,1
F,DDBD48,DG-303,D-3175,75,Y,Y,1
F,DDBD49,Nimbus 3,HB-1716,HP,Y,Y,1
F,DDBD4A,Twin Astir I,4x-GAR,,Y,Y,1
F,DDBD4B,LAK-17 A,F-CBFG,FG,Y,Y,1
F,DDBD4F,ASK-21,D-9526,,Y,Y,1
F,DDBD54,LS-7,G-CKSY,SY,Y,Y,1
F,DDBD56,Discus 2,D-5641,41,Y,Y,1
F,DDBD57,Janus B,I-AVVR,VR,Y,Y,1
F,DDBD58,DG-800,G-ORIG,345,Y,Y,1
F,DDBD60,Discus 2t,D-KJSM,SM,Y,Y,1
F,DDBD61,,,,N,N,1
F,DDBD62,Cirrus 18m,D-0902,WV,Y,Y,1
F,DDBD69,LS-6,D-4445,LS,Y,Y,1
F,DDBD6B,DG-1000,D-6077,77,Y,Y,1
F,DDBD6F,LS-3,G-CGAD,L5,Y,Y,1
F,DDBD72,ASG-29,D-0729,E3,Y,Y,1
F,DDBD75,LS-4,G-CHKX,HKX,Y,Y,1
F,DDBD78,LS-7,D-9099,99,Y,Y,1
F,DDBD7E,LS-1 f,OK-3136,EF,Y,Y,1
F,DDBD82,Ventus ct,G-CJSL,782,Y,Y,1
F,DDBD83,Nimbus 2 C,G-CJMV,EW,Y,Y,1
F,DDBD86,DG-808 C,G-SMAJ,AJ,Y,Y,1
F,DDBD87,ASG-29E,G-CLLL,LLL,Y,Y,1
F,DDBD90,ASW-28 18,G-CKRC,KRC,Y,Y,1
F,DDBD93,DG-1000,F-CJCA,CA,Y,Y,1
F,DDBD95,Ventus 2CX,OK6302,MD,Y,Y,1
F,DDBD96,Discus,OK9305,TD,Y,Y,1
F,DDBD9A,Ventus 2,G-VSGG,SG,Y,Y,1
F,DDBD9B,Discus 2cT,G-CKLV,175,Y,Y,1
F,DDBD9C,ASW-28 18,D-7218,D1,Y,Y,1
F,DDBD9E,LAK-17 AT,OK-1507,B2,Y,Y,1
F,DDBDA0,LS-8a,G-CHZG,X8,Y,Y,1
F,DDBDA1,LS-6,G-CGCM,347,Y,Y,1
F,DDBDA2,Nimbus 2,G-DEKW,430,Y,Y,1
F,DDBDA5,DG-400,OK-7737,MR,Y,Y,1
F,DDBDA8,ASH-25,G-SINK,RC,Y,Y,1
F,DDBDAA,LAK 19,F-CHNO,NO,Y,Y,1
F,DDBDAF,LS-8,G-CJLN,R4,Y,Y,1
F,DDBDB1,ASW-19,OK-9988,LL,Y,Y,1
F,DDBDE3,ASW-15,G-CHZD,HZD,Y,Y,1
F,DDBE82,,,,N,N,1
F,DDBE88,Discus t,OY-XZH,01,Y,Y,1
F,DDBE90,Cirrus Std,S5-3105,BM,Y,Y,1
F,DDBE93,ASH-25 MI,F-CLLC,LC6,Y,Y,1
F,DDBE95,AV 36 Fauvel,F-CBSM,SM,Y,Y,1
F,DDBE96,HK36 Super Dimona,D-KWEM,,Y,Y,1
F,DDBE99,Nimbus 3D,F-CFUJ,SFA,Y,Y,1
F,DDBEAA,LS-4,D-8960,HN,Y,Y,1
F,DDBEAC,Jodel D112,D-ELSM,,Y,Y,2
F,DDBEAE,LS-3,D-2624,WY,Y,Y,1
F,DDBEB8,Discus 2,D-4476,RH,Y,Y,1
F,DDBEC7,Astir Club,OH-858,W1,Y,Y,1
F,DDBECB,Duo Discus,D-1159,NCC,Y,Y,1
F,DDBECD,Discus,HA-4050,M5,Y,Y,1
F,DDBED1,Maule M-7-235,D-EBMS,,Y,Y,2
F,DDBEDA,Experimental,D-TEST,,Y,Y,1
F,DDBEDE,Discus 2,D-9420,D1,Y,Y,1
F,DDBEE0,Ventus 2ct,OO-ZVE,HB,Y,Y,1
F,DDBEE2,LS-8 18,D-1503,WN,Y,Y,1
F,DDBEE6,Ventus,OE-5376,63,Y,Y,1
F,DDBEE8,Discus 2t,D-KXWW,2W,Y,Y,1
F,DDBEEC,Ka-6 e,OE-0797,W6,Y,Y,1
F,DDBEED,Twin Astir I,EC-FQT,77,Y,Y,1
F,DDBEEF,Astir CS,OK-5080,CS,Y,Y,1
F,DDBEF0,Twin Astir III,D-8555,SG1,Y,Y,1
F,DDBEF9,FK14,D-MDET,,Y,Y,3
F,DDBEFA,ASK-21 MI,D-KRFP,PR,Y,Y,1
F,DDBEFD,Discus bT,D-KDUT,D8,Y,Y,1
F,DDBF01,Libelle Std,D-5709,SF,Y,Y,1
F,DDBF02,DR-400,D-EELR,LR,Y,Y,2
F,DDBF03,Ka-8,G CHJE,,Y,Y,1
F,DDBF04,Mini Nimbus,D-6764,PH,Y,Y,1
F,DDBF0E,ASH-26 E,D-KSPC,PC,Y,Y,1
